Memory:,Graphics Card:,CPU:,File Size:,OS:,name
 4 GB, NVIDIA GeForce GTX 1060 , Intel Core 2 Duo E8400 , 3 GB, Windows 10,CHORIZO System Requirements
 8 GB, NVIDIA GeForce GTX 1050 , Intel Core i5-4400E , 6 GB, Windows 10,Crow's Nest System Requirements
 8 GB, AMD Radeon HD 7660D , Intel Core 2 Duo Q6867 , 1 GB, Windows 7 64Bit,Mission: Driver System Requirements
4 GB,AMD Radeon R5 M230,Intel Pentium 4 2.00GHz,Unknown,"glibc 2.17+, 64-bit only",My Name Is Uter System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 2.00GHz , Unknown," Windows 7, 8, 8.1, 10",RUUUUUUN System Requirements
 8 GB, NVIDIA GeForce GTX 550 Ti , Intel Core i5-4400E , 2 GB, Windows 10,Rock Hoppers System Requirements
 4 GB, NVIDIA GeForce GTX 750 , Intel Core i5-4400E , 5 GB, Windows7/8/10,Adorable Witch 4 ：Lust System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium III 1400 @ 1400MHz , 100 MB, windows xp,Go Home System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core i5-4400E , 1 GB, Windows 7,Stuck at Home with My Sister: Prologue System Requirements
 8 GB, AMD Radeon R9 270 , Intel Core i5-750 , Unknown, 64-bit Windows 7 / Windows 10,ONAR System Requirements
 8 GB, NVIDIA GeForce GTX 750 , Intel Core i5-2500K , 20 GB," windows 7,8.1,10",Magna Regna System Requirements
 2 GB, Intel HD 4000 , Intel Core i3-2340UE , 1 GB, Windows 7 or newer,Lotus Knight System Requirements
 8 GB, NVIDIA GeForce 256 , Intel Core i3-2340UE , 300 MB, Windows 8,Pink Explorer System Requirements
 4 GB, NVIDIA GeForce 256 , Intel Core i3-530 , 500 MB, Windows 10 or higher,Fire All Humans System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, windows 7,Cold Way System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 1 GB, ,EXS2～EthnologySister2：Structuralism of kinship system System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core i3-2340UE , 100 MB, Windows 10,Sanguinite System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Atom x7-Z8750 , 250 MB, Windows 10 64bit,March to a Million System Requirements
 2 GB, NVIDIA GeForce GTX 650 , Intel Core i3-2100 , 200 MB, Windows 10,Koishi Navigation Desktop Youkai System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Pentium 4 2.00GHz , 1 GB, Windows 10 64-bit,Let It Boom System Requirements
 8 GB, NVIDIA GeForce GTX 1650 , AMD Ryzen 3 1200 , 4 GB, Windows 10,Exterminate Zombies: Get Paid System Requirements
 4 GB, NVIDIA GeForce 7200 GS , Intel Core i3-4340 , 2 GB, Windows 7,Mineralis System Requirements
 8 GB, NVIDIA GeForce GT 520 , Intel Pentium 4 2.00GHz , 10 GB," Windows 7, 8.1, 10",Azure Striker GUNVOLT 3 System Requirements
 6 GB, AMD Radeon HD 7730 , Intel Core i3-6300 , 10 GB, OS: 64-bit Windows 7,Base Commander System Requirements
1 GB,ATI FireGL T2-128,Intel Pentium 4 2.00GHz,4 GB,x86/x86_64,TruLove System Requirements
 4 GB, NVIDIA GeForce 256 , Intel Pentium 4 2.00GHz , 250 MB, Windows 7,ALEON's Nightmare System Requirements
 4 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , Unknown, Windows 7/8/10,Mad Trapper System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , Unknown," Windows 7 (SP1+), Windows 10 and Windows 11, 64-bit versions only.",Alien Colosseum System Requirements
 4 GB, NVIDIA GeForce GT 1030 , Intel Core i3-2340UE , 15 GB, Windows 7 64 bit,Exos Heroes System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i5-2500K , 2 GB, Windows 10+,Odium System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 1 GB, Windows 7,Dash The Fox & Three Dreadful Pigs System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Quad Q9705 , 2 GB, Windows 10 64bit,Vanilla Brain Exam System Requirements
 512 MB, NVIDIA GeForce 510 , Intel Core 2 Duo Q6867 , 300 MB, Windows 7 +,PunchBots System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 300 MB," Windows 7 (SP1+), Windows 10 and Windows 11",Robo50 System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 55 MB, Windows 7 or later,Beboop to the Rescue! System Requirements
 8 GB, AMD Radeon Pro 450 , Intel Core 2 Duo E8400 , 3 GB, Windows 10/11,BicycleSim System Requirements
 6 GB, AMD Radeon HD 7870 , Intel Core i5-3470 , 4 GB, WINDOWS® 10 (64-BIT Required),Bloodwatch System Requirements
 500 MB, ATI FireGL T2-128 , Intel Core i5-10400F , 147 MB, 64 Bit Windows 10,Royal Idiots System Requirements
 512 MB, Intel Iris Plus 640 , Intel Core i3-2340UE , 500 MB," Windows XP, Vista, 7, 8, or 10",Tribe War System Requirements
 8 MB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 4.00GHz , 700 MB, Windows 8/8.1/10,Alchemist Tris's Desire System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Atom x7-Z8750 , 250 MB, Windows 10 64bit,Pocket Arcade Story System Requirements
 2 GB, Intel HD 4000 , Intel Pentium 4 1.50GHz , Unknown, Windows 7 or later,Creative Console System Requirements
 2 GB, Intel HD 4000 , Intel Core i3-2340UE , 200 MB, Windows 7 or newer,Tina & Rook! Cookie Quest! System Requirements
 8 GB, NVIDIA GeForce GTX 560 , Intel Core i5-4460 , 17 GB, Windows 10/8/7,the City of plague System Requirements
 4 GB, NVIDIA GeForce GTX 470 , Intel Pentium 4 4.00GHz , 2 GB, Windows 7/8/10 64-bit,Is Land of Mysterious System Requirements
 16 GB, NVIDIA GeForce GTX 1060 , Intel Core 2 Quad Q9705 , 20 GB, Windows 10/11,Glaciered System Requirements
 8 GB, NVIDIA GeForce GTX 480 , Intel Core i5-3570K , Unknown, Windows 10,Polyspell System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 500 MB, Windows 7/8/10,Jumalien System Requirements
 1 GB, ATI FireGL V7350 , Intel Pentium 4 1.70GHz , Unknown, Windows 7 or newer,Making Lovers After Stories System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 500 MB, Windows 7/8.1/10 64-bit,Yahtzee System Requirements
 2 GB, NVIDIA GeForce GTX 980 , Intel Core i7-610 , 200 MB, Windows 7,Bounce Castle System Requirements
 4 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 2 GB, Microsoft® Windows® 7/8/8.1/10 (32bit/64bit),亂噏三國 System Requirements
 1 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 1 GB, Windows XP/Vista/7/8,Futanari Sex - Office Whores System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Quad Q9705 , 2 GB, Windows 10 64bit,Horny Witch Hunt System Requirements
 512 MB, NVIDIA GeForce GTX 1660 , Intel Core i5-10500 , 200 MB, 10,A2C:Ayry seems to be playtesting a 2D runner shooter from Cci System Requirements
 512 MB, ATI FireMV 2400 PCIe , Intel Pentium 4 2.00GHz , 1 GB, Windows 7 or new,修仙者黎明 System Requirements
 4 GB, NVIDIA GeForce GTX 470 , Intel Core 2 Duo Q6867 , 10 GB, Windows 7 64-bit or later,Night Gate System Requirements
 8 GB, ATI FireGL V7350 , Intel Core i3-4340 , 2 GB, OS: Microsoft Windows® 8.1/10 (64bit),Exiori System Requirements
 4 GB, ATI FireGL V7350 , Intel Core 2 Duo Q6867 , 500 MB, Windows 7 or higher,Hiddens Awakening System Requirements
 4 GB, NVIDIA GeForce 7600 GS , Intel Core 2 Duo E6320 , Unknown, Windows 7,BattlefieldPriest System Requirements
 4 GB, NVIDIA GeForce GTX 580 , Intel Core i3-4160 , 5.86 GB, Windows 7 (x64),Mysterious School System Requirements
 2 GB, Intel HD 4000 , Intel Core i5-4400E , 64 MB, Windows 10 64bit,PegSoli+ System Requirements
 4 GB, NVIDIA GeForce GTX 650 , Intel Core i5-3470 , 4 GB," OS: Windows 7, 8, 8.1, 10 (64-bit required)",Summoner's Tale System Requirements
 8 GB, NVIDIA GeForce GTX 780 , Intel Core i5-2500K , 5 GB," Windows 7,8,10",Retro Invasion System Requirements
 2 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 500 MB, Windows® 7/8/8.1/10,Wand Out - A 3D Magical Gay Novel System Requirements
 2 GB, ATI FireMV 2400 PCIe , Intel Pentium 4 2.00GHz , 500 MB, Windows 8 or greater,Classy Train System Requirements
 4 GB, ATI FireMV 2200 PCIe , Intel Atom Z510 , 100 MB, Windows 7,Moth Lake System Requirements
 400 MB, NVIDIA GeForce 510 , Intel Pentium 4 1300MHz , 200 MB, Windows 7,My Stepbro is a Femboy System Requirements
 256 MB, ATI FireGL T2-128 , Intel Pentium 4 1.80GHz , 80 MB, Windows 8.1以降,明日、初めて彼女と❤ System Requirements
 512 MB, NVIDIA GeForce 7200 GS , Intel Core 2 Duo Q6867 , 5 GB, Windows XP/Vista/7/8 or 10,Soul Maze System Requirements
 2 GB, ATI FireGL V7350 , Intel Core i5-2500K , 3 GB, WIndows 7,Flag Defense System Requirements
 6 GB, NVIDIA GeForce GTX 660 , Intel Core i5-3570 , 35 GB," 64-bit Windows 7, Windows 8.1, Windows 10",PARTICLE OF GOD System Requirements
 4 GB, NVIDIA GeForce 8500 GT , Intel Core i3-2340UE , 2 GB, WINDOWS® 10,Epoch Of Love System Requirements
 512 MB, ATI FireMV 2400 PCIe , Intel Pentium 4 2.00GHz , 30 MB," Windows XP, Vista, 7, 8/8.1, 10",THE WORST GAME System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 10,Cryptmaster System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 40 MB," Windows 7, 8, 8.1, 10",Gigant System Requirements
 8 GB, AMD Radeon R9 380 , Intel Core i5-2500K , 2 GB, Windows 10 (64 Bit),Undercraft System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, win10,Mr.Egg:Adventure System Requirements
 4 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 400 MB, Windows® 7/8/8.1/10,Letina's Odyssey System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 700 MB, Windows XP or higher,Computer Club System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, windows 7,Shadows on the Vatican - Act III: Sloth System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 200 MB, Windows 7 / 8 / 10 / 11,Emma's Armaments System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i3-6300 , 20 GB," 64-bit Operating Systems (Windows 7, Windows 8.1, Windows 10)",二十一 The Twenty One System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 400 MB, Win10,Chess Corp System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows,Raiden IV x MIKADO remix System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-3570K , 7 GB, Requires a 64-bit processor and operating system - Windows 10,TimeMelters - Challenges System Requirements
 2 GB, NVIDIA GeForce 256 , Intel Core 2 Duo Q6867 , 1 GB, Windows 7,Great Gun Gauntlet System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Unknown,Fuga: Melodies of Steel 2 System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Pentium 2020M , Unknown, 64 bit,Lights e Shades: Safìna System Requirements
 40 MB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 20 MB, Unknown,Molar Maul System Requirements
 4 GB, NVIDIA GeForce 256 , Intel Core i5 750S , 2 GB," Windows 8.1, Windows 10, Windows 11",Entre Planos: Um cafezinho para o fim do mundo System Requirements
 2 GB, NVIDIA GeForce 9600 GSO , Intel Celeron G530 , 530 MB, Windows 7; 8; 10,Tower Fall System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Atom Z515 , 512 MB, WIN7 SP1/WIN8/WIN10/XP,Shrine Maiden Kanna's Meatheaded ExorFist Record System Requirements
 2 GB, AMD Radeon R7 370 , Intel Core 2 Quad Q9705 , 1 GB, Windows 7 ou ultérieur (64 bits),MindVenture System Requirements
 4 GB, NVIDIA GeForce GTX 1060 , Intel Core i7-3770 , 12 GB, Windows 10,Beast Fists System Requirements
 800 MB, AMD Radeon R5 M230 , Intel Core i3-2340UE , 200 MB, Windows7,Pinch of Fighting Girls System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Core i5-4400E , 1 GB, windows 10,Anolock System Requirements
 1 GB, NVIDIA GeForce 9600 GSO , Intel Celeron G530 , 75 MB, Windows 7; 8; 10,Underwater battles System Requirements
4 GB,NVIDIA GeForce 510,Intel Core 2 Duo E8400,1 GB,Linux .x86_64,Rainbow Heights Academy: Year 1 System Requirements
500 MB,ATI FireMV 2260,Intel Pentium 4 2.00GHz,1 GB,"Ubuntu 20.04, Ubuntu 18.04, and CentOS 7",Ideal Nightmare System Requirements
 4 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 2.00GHz , 500 MB," Windows XP, Vista, 7, 8/8.1, 10",Territorial Duck System Requirements
 2 MB, NVIDIA GeForce 7200 GS , Intel Pentium 4 2.00GHz , 300 MB, Windows 7 or later,Sissa's Path System Requirements
2 GB,ATI FireGL T2-128,Intel Core 2 Duo Q6867,2 GB,Ubuntu 12.04+,Ticket to Europe System Requirements
300 MB,ATI FireGL T2-128,Intel Pentium 4 2.00GHz,200 MB,Post 2012 Linux OS,Odd Guy Meets Odd Farmers - BL Yaoi Visual Novel System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 100 MB, Windows 7 or newer,PIP System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 7,Samurai Creator System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 7,Ninja Creator System Requirements
 16 GB, AMD Radeon RX 580 , Intel Core i5-3570K , 2 GB, Windows 10,Ka: Keepers & Assassins System Requirements
 8 GB, NVIDIA GeForce GTX 1080 , Intel Core i5-9600K , 1 GB, Windows 8,Apollo's Adventure System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 88 MB," 10, 8, 7, Vista",Snow Problem System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Atom Z510 , 150 MB, Windows 10,Tennis the Menace System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown," Windows 10, Windows 11, Windows 7",Last Chance in Xollywood System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Core i3-2340UE , 300 MB," Windows 7, Windows 8, Windows 10",街机之三国戰記 System Requirements
 2 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 1 GB, WindowsR 8/8.1/10/11 (64bit),Rocketeer System Requirements
 2 GB, Intel Media Accelerator 500 , Intel Pentium 4 4.00GHz , 1 GB, WIndows 10,Anodos System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core i3-2340UE , 500 MB, 7/8/10,Fruit Girl Kiss System Requirements
 8 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i5-650 , 2 GB, Windows 7,Across the Galaxy: Infinite War System Requirements
 4 GB, NVIDIA GeForce GT 520 , Intel Core i5-4400E , 5 GB, Windows 10 64Bit,PolyRoyale System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , AMD Ryzen 5 3600 , 175 MB, Windows 10,Ashen Will System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 1 GB, Windows 7 SP1/Windows 8,Mutagenic System Requirements
 1 GB, ATI FireGL T2-128 , Intel Atom Z515 , 20 MB, Windows 7/8/10,Aim Trainer X System Requirements
 4 GB, NVIDIA GeForce GTX 1050 Ti , AMD Ryzen 5 1600 , Unknown, Windows 10 (64 bit),Zardy's Maze 2 System Requirements
 2 GB, ATI FireMV 2400 PCIe , Intel Core 2 Duo Q6867 , 150 MB, Windows 7,Bright Garden System Requirements
 4 GB, NVIDIA GeForce GTX 1080 , Intel Pentium 4 2.00GHz , 1000 MB, Windows 10 (64bit 21H2 or later) / Windows 11,Midnight School Walk 真夜中学園さんぽ System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , Unknown, Windows 7/8/10/11,Moon Split Island System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 1.70GHz , 1.17 GB, Windows 7/Windows 8/Windows 10,Magic Сity Detective: Secret Desire Collector's Edition System Requirements
 2 GB, NVIDIA GeForce GTX 960 , Intel Core i3-2340UE , 2 GB," win7,win8,win10",Hammer 2 Reloaded System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 100 MB, Windows 7,The Perfect Garden System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 100 MB, Windows 7 or newer,Poly Memory: Primates System Requirements
2 GB,ATI FireMV 2260,Intel Pentium 4 2.00GHz,Unknown,Ubuntu 16.04+,Kiss the Demiurge System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core i3-2340UE , Unknown, Windows 10,Sudocity System Requirements
 8 GB, AMD Radeon RX 570 , Intel 1400 , 8 GB, Windows 10/11,Hold or Die System Requirements
 1 GB, Intel Media Accelerator 500 , Intel Pentium 4 2.00GHz , 1 GB, Windows10,KIKURA System Requirements
 4 GB, ATI Radeon 3000 , Intel Pentium E2180 , 190 MB, Windows 7 or later,Super Demon Survivors System Requirements
 8 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core 2 Quad Q9705 , 20 GB, Windows 10 64-bit,SCP: The Paranormal System Requirements
 16 GB, NVIDIA GeForce RTX 2070 , Intel Core i7-10750H , 8 GB, Windows 10,CLASHBOWL System Requirements
4 GB,ATI FireGL T2-128,Intel Pentium 4 2.00GHz,500 MB,Ubuntu 14.04 LTS,Paramnesia System Requirements
 6 GB, AMD Radeon RX 550 , AMD FX-6300 , 5 GB, Windows 7,Rally 9000 System Requirements
1 GB,NVIDIA GeForce 510,Intel Pentium 4 2.00GHz,250 MB,"Ubuntu 20.04, Ubuntu 18.04, and CentOS 7",Live Maze System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium E5300 , Unknown, Windows 7,Fantasy Hentai Quest System Requirements
 8 GB, NVIDIA GeForce GTX 1080 , Intel Core i5-4400E , Unknown, Windows 10,Extract Me System Requirements
 4 GB, NVIDIA GeForce GTX 760 , Intel Core i3-2340UE , 10 GB, Windows 8 or newer,Goldilock One: The Mists of Jakaíra System Requirements
 2 GB, Intel Iris 6100 , Intel Celeron 2957U , 2 GB," Windows 7, 10 (64-bit Only)",Attacker-chan! System Requirements
4 GB,ATI FireMV 2260,Intel Pentium 4 2.00GHz,10 GB,"Ubuntu 20.04, Ubuntu 18.04, and CentOS 7",Milliopoly - Language Quiz and Learning System Requirements
 4 GB, NVIDIA GeForce 8500 GT , Intel Core 2 Duo Q6867 , 137 MB, Windows 7 or newer,Garden Guardian System Requirements
 4 GB, ATI Radeon HD 5750 , Intel Core 2 Duo Q6867 , 1 GB, Windows 7+,X Equal - Hack the giant System Requirements
 6 GB, NVIDIA GeForce GTX 950 , Intel Core 2 Quad Q9705 , 18 GB, windows 7,双线交锋：收获日 System Requirements
 2 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Atom Z510 , 50 MB, 7+,Matcha System Requirements
 8 GB, AMD Radeon R5 M230 , Intel Core i5-4590 , 19 GB, Windows 7+,Angel's Awakening System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 200 MB, Windows 7 SP1+,Platfuzzles System Requirements
 16 GB, NVIDIA GeForce GTX 1080 Ti , Intel Core i7-8700K , Unknown, Windows 10,Binary. System Requirements
 2 GB, NVIDIA GeForce GT 440 , Intel Core 2 Duo E6550 , 1 GB, Windows 7sp1 Windows 10,面具古墓 System Requirements
 1.95 GB, AMD Radeon HD 7790 , Intel Core i3-2100 , 500 MB, Windows 7或以上,地下城冒险记 System Requirements
4 GB,AMD Radeon HD 7790,Intel Core 2 Duo Q6867,Unknown,Ubuntu 16.04 (64 Bit),Almost My Floor 2 System Requirements
 2 GB, NVIDIA GeForce GT 820M , Intel Core i5-4400E , 600 MB," Windows7, Windows8, Windows10",69 Penny Hot System Requirements
 4 GB, Intel HD 515 , Intel Pentium 4 2.00GHz , 4 GB, 10,Capitals System Requirements
256 MB,NVIDIA GeForce 510,Intel Core 2 Duo Q6867,750 MB,Unknown,Ferrule Instincts System Requirements
 2 GB, NVIDIA GeForce 7600 GS , Intel Core 2 Duo E6320 , 2 GB, Windows 7 or later,Maiden Gear System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 1 GB, WIN7,Rainy Butcher System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 4.00GHz , 500 MB, Microsoft Window 10,Concealed System Requirements
 4 GB, AMD Radeon HD 5450 , Intel Core i3-2340UE , 3 GB, Windows 10 (64Bit),CRAYON SHINCHAN The Storm Called! FLAMING KASUKABE RUNNER!! System Requirements
 512 MB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 80 MB, Windows 7,Pixel drawing block System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core 2 Duo Q6867 , 10 GB, Windows 7 SP1+,Kaisa: Resurrection System Requirements
 4 GB, NVIDIA GeForce GTX 1080 , Intel Pentium 4 1.80GHz , Unknown, Windows 10,Cloud Heart System Requirements
 2 GB, NVIDIA GeForce 9400M , Intel Celeron N4020 , Unknown, windows 7,Go Slo System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 300 MB, Windows 10,Potion Tales System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 2.00GHz , 1 GB," Windows 7, 8, 8.1, 10",The Cold Forest System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Atom x7-Z8750 , 250 MB, Windows 10 64bit,Tennis Club Story System Requirements
 16 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-4200U , 60 GB, Windows 10 64bit,Rev to Vertex System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 7,White : The Hero's Return System Requirements
 8 GB, NVIDIA GeForce GTX 560 , Intel Pentium 4 2.00GHz , 5 GB," Windows 7,8,10",Financial freedom for the few System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 1.80GHz , 255 MB, Windows 7 or above,Alien Decimation System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 250 MB, Windows 10,Lightspeed Dating System Requirements
 8 GB, AMD Radeon HD 5450 , Intel Pentium 4 2.00GHz , 2 GB, Windows 7+,ARCHETYPES - The Rite Of Passage System Requirements
 6 GB, NVIDIA GeForce GTX 1650 , Intel Core i5-3450 , 12 GB, Windows 10,Reddnes System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-4590 , 5 GB, Windows 10,Get the Ball Rolling System Requirements
 8 GB, AMD Radeon Pro 450 , Intel Core i3-330E , 4 GB, 7,Noclipped System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 2 GB, Windows,The Fighters Online System Requirements
 40 MB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 20 MB, Unknown,Summer Games System Requirements
4 GB,ATI FireGL T2-128,Intel Core 2 Quad Q9705,10 GB,Anything recent,Slay the Princess System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i5-3470 , Unknown, Windows 7,幻斋阴阳录 Genzai:Serialization System Requirements
 2 GB, NVIDIA GeForce GTX 650 , Intel Pentium 4 4.00GHz , 1 GB, Windows 10,Friendly Warfare System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 500 MB, Window 7,Goo Gladiators System Requirements
 512 MB, NVIDIA GeForce 510 , Intel 1500 , 140 MB, Windows XP SP3 x64,Holiday Jigsaw Halloween 3 System Requirements
 4 GB, ATI FireGL V7350 , Intel Core i3-2340UE , 1000 MB, Windows XP/Vista/7/8/10,My Bunny Girl System Requirements
 1 GB, AMD Radeon X1300 , Intel Pentium 4 2.00GHz , 2 GB," 64bit versions of Windows 7, Windows 8, Windows 10",Sebil Engineering System Requirements
 4 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i5 750S , 2 GB, Windows 7,苍白花树繁茂之时Blood Flowers System Requirements
 4 GB, Intel HD Graphics 620 , AMD Phenom II X4 8700e , Unknown, Windows 7 or higher,CRT7 System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Atom x7-Z8750 , 250 MB, Windows 10 64bit,Home Run High System Requirements
 1 GB, AMD Radeon R9 270 , Intel Core i5-2500 , 5 GB, Windows 7,Code: Restart System Requirements
4 GB,NVIDIA GeForce 510,Intel Pentium 4 2.00GHz,140 MB,Ubuntu 14.04 or later,Canfield Solitaire Collection System Requirements
3 GB,ATI FireMV 2260,Intel Pentium 4 2.00GHz,4 GB,Ubuntu 18.04/CentOS 7,Name of The Will System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core 2 Duo Q6867 , 2 GB, Windows 7,Jasper and the City of Lights System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 15 GB, Windows 10 (64Bit),飞越13号房 System Requirements
4 GB,NVIDIA GeForce 510,Intel Core 2 Duo E8400,5 GB,Unknown,Fogtown: Mystery of the Missing Crime System Requirements
 4 GB, Intel HD 5500 , Intel Core i3-2340UE , 500 MB, Windows 10 (64 bit),Voyager 2 System Requirements
 8 MB, NVIDIA GeForce 510 , Intel Core i5-9600K , 4 MB, Windows 7 or Newer,Silent Bloom System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Atom x7-Z8750 , 250 MB, Windows 10 64bit,Kairobotica System Requirements
4 GB,NVIDIA GeForce 205,Intel Core 2 Duo E8400,Unknown,Ubuntu,NEAVE 2 System Requirements
 8 GB, AMD Radeon HD 7870 , AMD A10-7850K , 4 GB, Windows 7 64-bit,Outland Kingdoms System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 10,Crow's Cry System Requirements
 1 GB, NVIDIA GeForce GTX 560 , Intel Core i3-2340UE , 2 GB, Windows7,Hi Eggplant! System Requirements
 6 GB, Intel HD 4600 , Intel Pentium 4 2.00GHz , 2 GB, Windows 10,Eleven Sunrises System Requirements
4 GB,NVIDIA GeForce GT 710,AMD Ryzen 3 3200G,150 MB,Ubuntu 20.0.04 or equivalent.,Error Found System Requirements
 8 GB, NVIDIA GeForce GTX 1070 , Intel Core i5-4590 , 10 GB, Windows 10,Airport Ground Handling Simulator VR. Starter Pack. System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core 2 Duo Q6867 , 800 MB, Windows 7,PongPong Girl System Requirements
 9 GB, NVIDIA GeForce GTX 960 , Intel Core i7-920 , 4 GB, Windows 10,Deus Novum System Requirements
