Memory:,Graphics Card:,CPU:,File Size:,OS:,name
 8 GB, AMD Radeon R9 380 , Intel Core i5-4570 , 15 GB, Windows® 7,Overprime System Requirements
 4 GB, Intel HD Family , Intel Core 2 Duo E8400 , 5 GB, Windows 7,BlueStacks System Requirements
 8 GB, NVIDIA GeForce GTX 960  or Radeon RX 460, Intel Core i5-4460  or FX-6300, 26 GB, Windows 10,Resident Evil 2 System Requirements
4 GB,NVIDIA GeForce GTX 470,AMD Athlon II X4 650,2 GB,Ubuntu 14.04 LTS x32,Hearts of Iron IV System Requirements
 8 GB, AMD Radeon R9 280X , Intel Core i5-4590 , 30 GB, Windows 10 64-bit,F1® Manager 2022 System Requirements
 512 MB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 30 MB, Microsoft® Windows® XP or later,Stream Games System Requirements
 4 GB, Intel HD 3000 , Intel Core 2 Duo E6400 , 10 GB, Windows 7 64-Bit,Warframe System Requirements
 8 GB, AMD Radeon RX 560 , Intel Core i5-3470 , 80 GB, Windows® 10,DEATH STRANDING: Director's Cut System Requirements
 8 GB, NVIDIA GeForce GTX 660 , Intel Core i5-3570K , 20 GB, Windows 7 or later (64-Bit),Satisfactory System Requirements
 8 GB, NVIDIA GeForce GTX 760 , Intel Core i7-4770 , 35 GB, WINDOWS® 7 (64-BIT Required),Devil May Cry 5 System Requirements
 6 GB, NVIDIA GeForce GTX 660 , AMD FX-6300 , 27 GB," Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only)",Watch Dogs 2 System Requirements
 8 GB, NVIDIA GeForce GTX 1050 , Intel Core i5-750 , Unknown, 64-bit Windows 7 / Windows 10,Mortal Kombat 11 System Requirements
 16 GB, AMD Radeon RX 590 , Intel Core i5-4690K , 55 GB, Windows 10 (20H1 64 bits),A Plague Tale: Requiem System Requirements
 8 GB, NVIDIA GeForce GTX 1050 Ti , Intel Core i5-7500 , 50 GB,  Windows 10 (64 bit),Resident Evil Village System Requirements
 8 GB, NVIDIA GeForce GTX 670 , AMD FX-6300 , 40 GB," Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",Far Cry 5 System Requirements
 4 GB, AMD Radeon HD 6450 , Intel Core Duo T2450 , 31 GB, Windows 7,PAYDAY 2 System Requirements
 8 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i5-3570 , 55 GB, Windows 10,Forza Horizon 3 System Requirements
 8 GB, NVIDIA GeForce GTX 660 , Intel Core i3-6100 , 50 GB, Windows 10 64-Bit,FIFA 21 System Requirements
 8 GB, NVIDIA GeForce GTX 760 , AMD FX-6350 , 50 GB, Windows 10,Need for Speed Heat System Requirements
 6 GB, AMD Radeon HD 6970 , Intel Core i3-530 , 100 GB, Windows 7 64-Bit,Call of Duty Black Ops 3 System Requirements
4 GB,NVIDIA GeForce GTX 560,AMD FX-8320,40 GB,Ubuntu 14.04 64-bit and newer recommended,Dying Light System Requirements
 8 GB, AMD Radeon R9 380 , Intel Core i5-2500 , 50 GB, Windows 7 64Bit,Call of Duty: Modern Warfare System Requirements
 4 GB, NVIDIA GeForce 8500 GT , Intel Core 2 Duo Q6867 , 15 GB, Windows 7 SP1,Hades System Requirements
 8 GB, AMD Radeon RX 460 , Intel Core i3-3210 , 30 GB, Windows® 10 / Windows® 11 64-bit,CRISIS CORE –FINAL FANTASY VII– REUNION System Requirements
 8 GB, NVIDIA GeForce GTX 660 , Intel Core i3-3250 , 30 GB, Windows 10,Diablo 2: Resurrected System Requirements
8 GB,AMD Radeon R7 370,Intel Core i3-3250,10 GB,Ubuntu 20.04 LTS,Victoria 3 System Requirements
 2 GB, ATI FireGL V7350 , Intel Pentium 4 4.00GHz , 3 GB, Windows 7,Welcome to the Game System Requirements
 3 GB, ATI Radeon HD 5850 , Intel Core 2 Duo Q6867 , 9 GB, Windows Vista / Windows 7,Dishonored Definitive Edition System Requirements
 6 GB, NVIDIA GeForce GTX 680 , Intel Core i5-2500K , 50 GB," Windows 7 SP1, Windows 8/8.1 (64-bit operating system required)",Assassin's Creed Unity System Requirements
 8 GB, NVIDIA GeForce GTX 780 , Intel Core i5-2500K , 70 GB, Windows 10 64-bits,Days Gone System Requirements
 4 GB, NVIDIA GeForce GTX 650 Ti , Intel Core i3-3225 , 8 GB, Windows 7 (SP1) 64bit,Grounded System Requirements
 8 GB, AMD Radeon RX 470 , Intel Core i5-4430 , 60 GB, Windows 10 64-bit,Marvel's Midnight Suns System Requirements
 16 GB, NVIDIA GeForce RTX 3060 , Intel Core i7-6700  or Ryzen 5 3600, 25 GB, Windows 10,Portal with RTX System Requirements
 8 GB, AMD Radeon RX 580  or GeForce GTX 1060, Intel Core i5-8400  or Ryzen 5 2600, 75 GB, Windows 10/11,The Callisto Protocol System Requirements
 8 GB, NVIDIA GeForce GTX 1050 Ti , Intel Core i5-6500 , 50 GB, Windows 10,Diablo 4 System Requirements
 8 GB, AMD Radeon RX 470 , Intel Core i5-4460 , 110 GB, Windows 10 version 1909 or higher,Forza Horizon 5 System Requirements
 8 GB, AMD Radeon RX 580 , Intel Core 2 Quad Q9705 , 12 GB," 64-bit Windows 10, 11",Dark and Darker System Requirements
 6 GB, NVIDIA GeForce GTX 660 , AMD Phenom II X4 940 , 35 GB," 64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10",The Witcher 3 System Requirements
 6 GB, NVIDIA GeForce GTX 650  or Radeon HD 7350, Intel Core i3-530  or Phenom 8650, 50 GB, Windows 10 64-bit,Overwatch 2 System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i5-4460 , 50 GB, Windows 10,Assassin's Creed Valhalla System Requirements
 8 GB, NVIDIA GeForce GT 1030 , Intel Core i5-4460 , 30 GB, Windows 7,Genshin Impact System Requirements
 8 GB, NVIDIA GeForce GTX 660  or Radeon HD 7950, Intel Core i5-2300  or Ryzen 3 1200, 2 GB, Windows 10 64-bit,Fall Guys System Requirements
 8 GB, AMD Radeon RX 570 , Intel Core i5-4460 , 150 GB, Windows 10,Microsoft Flight Simulator System Requirements
2 GB,NVIDIA GeForce 7300 GT,Intel Core 2 Duo E6600,15 GB,Ubuntu 12.04,CSGO System Requirements
 8 GB, NVIDIA GeForce GTX 1060  or Radeon RX 470, Intel Core i3-3210 , 15 GB, Windows 7/8.1/10 (64-bit versions),No Man's Sky System Requirements
8 GB,AMD Radeon HD 5450,Intel Core i5-4400E,23 GB,Varies,X-Plane 12 System Requirements
 8 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2400 , 46 GB," Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only)",Assassin's Creed Odyssey System Requirements
 6 GB, NVIDIA GeForce GTX 660 , AMD FX-6350 , 42 GB," Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",Assassin's Creed Origins System Requirements
 6 GB, AMD Radeon HD 7850 , AMD FX-4350 , 105 GB, Windows 7 64-bit / Windows 8.1 64-bit / Windows 10 64-bit,Destiny 2 System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 200 MB, Windows 7,DarkTide System Requirements
 2 GB, AMD Radeon X1950 Pro , Intel Core 2 Duo E4400 , 6 GB, Windows 7/Vista/XP PC (32 or 64 bit),The Elder Scrolls V: Skyrim System Requirements
 8 GB, NVIDIA GeForce GTX 660 , Intel Core i5-3330 , 35 GB, Windows 10 Home (x64),Farming Simulator 22 System Requirements
 6 GB, AMD Radeon HD 7850 , Intel Core i3-8100 , 60 GB, Windows 7 (64-bit only),Mount & Blade II: Bannerlord System Requirements
 8 GB, AMD Radeon RX 580 , Intel Core i7-7700 , 130 GB, Windows 10 64-bit,STAR WARS Jedi: Survivor™ System Requirements
4 GB,NVIDIA GeForce GTX 260,Intel Core 2 Duo T7600,4 GB,Ubuntu 12.04 (64-bit),Cities Skylines System Requirements
 4 GB, NVIDIA GeForce GTX 650 , Intel Core 2 Quad Q9450 , 50 GB, Windows 10,Sea of Thieves System Requirements
 8 GB, AMD Radeon R7 260 , Intel Core i3-2100 , 50 GB, Windows 7/8.1/10 - 64-Bit,FIFA 19 System Requirements
 8 GB, AMD Radeon R9 290 / 390 , AMD FX-8350 , 16 GB, Windows 10 64Bit,Phasmophobia System Requirements
 8 GB, AMD Radeon R7 360  or GeForce GTX 650 Ti, Intel Core i7-4790 , 41 GB, Windows 10,Persona 5 Royal System Requirements
 8 GB, NVIDIA GeForce GTX 1060  or Radeon RX 580, Intel Core i5-4670  or Ryzen 5 1600, 110 GB, Windows 10,God of War Ragnarok System Requirements
 6 GB, AMD Radeon RX 460 , Intel Core i3-2120 , 120 GB, Windows 7 64-bit,Total War: Warhammer 3 System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 10 GB, Windows 10,Oculus Quest 2 System Requirements
 16 GB, NVIDIA GeForce GTX 970  or Radeon RX 570, Intel Core i5-8400  or Ryzen 5 1600, 83 GB, Windows 8.1 64-bit,Star Citizen System Requirements
2 GB,NVIDIA GeForce 6200,Intel Core 2 Duo E7400,13 GB,Ubuntu 12.04,Left 4 Dead 2 System Requirements
 8 GB, AMD Radeon R9 270 / R7 370 , AMD FX-6300 , 40 GB, Windows 7 64-bit,PUBG: Battlegrounds System Requirements
4 GB,Intel HD 4000,Intel Core i3-3210,2 GB,Any modern distributions from 2014 onwards,Minecraft System Requirements
 8 GB, NVIDIA GeForce GTX 970  or Radeon RX 570, Intel Core i5-6600  or Ryzen 5 2600, 50 GB, Windows 10,"Warhammer 40,000: Darktide System Requirements"
 6 GB, NVIDIA GeForce GTX 460 , AMD Phenom II X4 945 , 61 GB," Windows 7, Windows 8.1, Windows 10 (64bit versions required)",Tom Clancys Rainbow Six Siege System Requirements
 8 GB, NVIDIA GeForce GTX 960  or Radeon RX 470, Intel Core i5-2500K  or Ryzen 3 1200, 125 GB, Windows 10,Call of Duty Modern Warfare 2 System Requirements
 4 GB, NVIDIA GeForce 8800 GT , Intel Core 2 Duo T7700 , 5 GB, Windows 7,The Forest System Requirements
 8 GB, AMD Radeon R9 280 , Intel Core i5-2400 , 50 GB, Windows® 10 64-bit,New World System Requirements
 4 GB, NVIDIA GeForce GTX 760 , Intel Core i3-2100 , 25 GB, Windows 7 64-bit | Windows 8 64-bit | Windows 10 64-bit,Sekiro: Shadows Die Twice System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i7-4790K , 128 GB, Windows 7,World of Warcraft Dragonflight System Requirements
4 GB,ATI FireGL T2-128,Intel Core 2 Duo Q6867,1 GB,Any up to date version,Valheim System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-4690K , 75 GB, Windows 10,Starfield System Requirements
 4 GB, NVIDIA GeForce GTX 560 , Intel Core i5-760 , 70 GB, Windows 7 64-Bit,World of Warcraft System Requirements
 8 GB, NVIDIA GeForce GTX 650 Ti , Intel Core i3-4170 , 65 GB, Windows  10,Forza Horizon 4 System Requirements
 8 GB, AMD Radeon HD 7790 , Intel Core i5-2300 , 50 GB, Windows 10 - 64bit,eFootball™ 2022 System Requirements
 8 GB, AMD Radeon R7 370 , Intel Core i5-4430 , 30 GB," 64-bit Windows 7, Windows 8.1, Windows 10",Ready Or Not System Requirements
 8 GB, NVIDIA GeForce GTX 950 , Intel Core i7-920 , 4 GB, Windows 10 64-bit,Adobe Photoshop System Requirements
 8 GB, NVIDIA GeForce GTX 950  or Radeon R9 270X, Intel Core i3-530  or Phenom II X4 955, 19 GB, Windows 7,Escape From Tarkov System Requirements
 8 GB, AMD Radeon HD 7850 , AMD Athlon X4 880K , 50 GB, Windows 10,FIFA 22 System Requirements
 12 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-7500 , Unknown, Windows 10,Half-Life: Alyx System Requirements
 8 GB, AMD Radeon RX 560 , Intel Core i3-9100 , 60 GB, Windows® 7,Dying Light 2 Stay Human System Requirements
 8 GB, AMD Radeon HD 7870 , Intel Core i5-2500K , 14 GB, Windows 10/11,Knights of Honor II – Sovereign System Requirements
 4 GB, AMD Radeon HD 6850 , Intel Core i7-610 , 50 GB, 64-bit Windows 7/Windows 8,Wolfenstein: The New Order System Requirements
 1.5 GB, ATI Radeon X1900 , AMD Athlon 64 X2 TK-55 , 16 GB, Windows Vista - Service Pack 1 / Windows XP - Service Pack 3,GTA 4 System Requirements
4 GB,Intel HD 3000,Intel Pentium D 915,15 GB,Ubuntu 12.04 or newer,Dota 2 System Requirements
 8 GB, NVIDIA GeForce GTX 780 , Intel Core i5-2500K , 100 GB, Windows 10 64-bits,Horizon Zero Dawn System Requirements
 8 GB, AMD Radeon RX Vega , Intel Core i5-6300U , 50 GB, Windows 10 64bit,Age of Empires 4 System Requirements
 8 GB, AMD Radeon HD 7870 , AMD Phenom II X4 945 , 30 GB, Windows 7/8/10 (64-bit OS required),Fallout 4 System Requirements
 8 GB, AMD Radeon RX 560 , Intel Core i5-6600K , 100 GB, Windows 10,Battlefield 2042 System Requirements
2 GB,ATI Radeon HD 4850,Intel Core 2 Quad Q6600,7 GB,Unknown,Rocket League System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 800 MB, windows 7,Dragonflight System Requirements
 4 GB, AMD Radeon HD 7770 , Intel Core i3-2100 , 110 GB," Windows 7 64-bit, Windows 8.1 64-bit or Windows 10 64-bit",NBA 2K23 System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 6 GB, Windows 7 or later,Raft System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , Unknown, TBD,The Last of Us™ Part I System Requirements
 8 GB, NVIDIA GeForce GTX 660 , Intel Core i5-6600K , 50 GB," 64-bit Windows 7, Windows 8.1 and Windows 10",Battlefield 1 System Requirements
 8 GB, NVIDIA GeForce GTX 670  or GeForce GTX 1650 or Radeon HD 7950, Intel Core i3-4340  or FX-6300, 175 GB, Windows 10 64-bit,Call of Duty: Warzone System Requirements
 8 GB, NVIDIA GeForce GTX 1660 Ti , Intel Core i5-9600K , 45 GB, Windows 10 64-bit,Gotham Knights System Requirements
 8 GB, AMD Radeon R9 280 , Intel Core i5-661 , 50 GB, 64-bit Windows 7 / 64-Bit Windows 10,DOOM Eternal System Requirements
 8 GB, NVIDIA GeForce GTX 760 , Intel Core i5-4430 , 16 GB, Windows 7/8.1 64-bit,DayZ System Requirements
 8 GB, NVIDIA GeForce GTX 780  or Radeon R9 280X, Intel Core i5-4690  or FX-4350, 150 GB, Windows 7 64-bit,Baldur's Gate 3 System Requirements
 8 GB, AMD Radeon HD 7870 , Intel Core i5-3470 , 30 GB, Windows 10,Sonic Frontiers System Requirements
4 GB,NVIDIA GeForce GTX 660,Intel Celeron J1800,8 GB,"Most modern 64-bit Linux distributions, SteamOS",War Thunder System Requirements
 8 GB, AMD Radeon HD 7870 , Intel Core i5-3470 , 40 GB, Windows 8.1/10 - 64bit,eFootball PES 2021 System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-650 , 50 GB, Windows 10 64-bit,High On Life System Requirements
